id,Sentence,Sentiment,SentimentNumerical
1959,we are very excited working with maxis on this first commercial deployment of master of maya said joe doering head of the asia south region at nokia siemens networks,positive,1
1496,iwm same conditions that sent markets to tumble all hitting this week,negative,0
315,commission income decreased to eur 38 mn compared to eur 46 mn in the third quarter of 2007,negative,0
282,at the close the omx helsinki 25 was 001 pct lower at 306764 points and the omx helsinki was down 005 pct at 1032146 points on over 1343 bln eur of turnover,negative,0
2381,ahlstrom corporation stock exchange announcement 2342007 ahlstrom corporation will publish its first quarter financial results 2007 on friday april 27 2007 approximately at 830 am finnish time,neutral,2
1461,revenue in the quarter fell 8 percent to euro 24 billion compared to a year earlier,negative,0
716,austin texas sept 6 texas department of transportation awards contract for teleste video compression and distribution equipment,positive,1
945,2 turnaround buys for 2016 bhp billiton plc and home retail group plc,positive,1
548,odell has not contacted the state of finland in this issue,neutral,2
2015,red daily triangle on shorscaling up on long position httpstkscor82s,positive,1
577,earnings per share eps dropped to eur 021 from eur 031,negative,0
418,country finland sector constructionreal estate target pohjolan designtalo oy buyer capman oyj vendor ruukki group oyj deal size in usd 1026 m type divestment status agreed,neutral,2
960,the financial details of the transaction were not disclosed,neutral,2
1485,ahlstrom s share is quoted on the nasdaq omx helsinki,neutral,2
910,alert new macd signal created on ctxs buy at 7709 time 1823 strength 10 powered by httpstco4tdgjedllz,positive,1
1500,according to ringman finnish paper companies have acquired knowhow and capacity in paper recycling which has turned out to be a successful strategy,positive,1
2354,the duration of the layoffs per employee will vary from one to six weeks,neutral,2
1209,analyst views astrazeneca shares have seen recent volatility what will 2015,negative,0
1386,the company expects its net sales for the whole of 2007 to be eur 950mn1 000 mn,neutral,2
1153,auto trader share price surges as company floats on lse,positive,1
1192,diluted earnings per share eps stood at eur 025 versus eur 042,negative,0
2180,sharkbiotech if anyone is sellingshorting agn bc you believe endp rumors to be realistic then ill take the other side of that trade,positive,1
189,in the baltic states the company reports net sales of eur 119 mn down from eur 142 mn and an operative ebit of eur 22 mn down from eur 17 mn,neutral,2
2134,the official opening of the office located in prague will be celebrated on may 20,neutral,2
372,indigo and somoncom serve 377000 subscribers and had a market share of approximately 27 as of may 2007,neutral,2
567,the exercise price of the option will be based on safran software solutions license and maintenance sales as well as the result of the company,neutral,2
508,looks like a big feb 1822 put spread on cree last quarter 0 yoy rev growth trading 24x earnings i may try a short,negative,0
2372,uncertainties still exist however,neutral,2
1136,tsla weakest in todays dt watchlist,negative,0
2342,according to the company s updated strategy for the years 20092012 basware targets a longterm net sales growth in the range of 20 40 with an operating profit margin of 10 20 of net sales,positive,1
2429,finnish it solutions provider affecto oyj hel afe1v said today its slipped to a net loss of eur 115000 usd 152000 in the second quarter of 2010 from a profit of eur 845000 in the corresponding period a year earlier,negative,0
1024,jussi pesonen member of the sampo board since 2006 will renounce his seat in sampo board,neutral,2
701,finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments,negative,0
724,tsla recalls 2700 model x cars stock dropping hard,negative,0
1899,so far norwegian norske skog has reduced the staff levels by 1000 people and plans to reduce production by 200000 tons in 2008 while finnishswedish stora enso is to cut staff by 1700 people and production by 500000 tons,negative,0
564,this contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries such as oil shale processing,positive,1
1046,in 2008 stockmann earned 3398 million lats in profit on 48012 million lats in turnover,neutral,2
1746,fb trending nicely intraday,positive,1
182,at this growth rate paying off the national debt will be extremely painful,negative,0
1348,glaxosmithkline set to complete 20 billion novartis asset swap next week,positive,1
2155,eurochem cfo andrey ilyin said this facility marks another important step for eurochem in securing the longterm financing necessary for our potash and other strategic projects,positive,1
948,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,negative,0
1398,the fouryear contract between the bank and ski sport finland will bring the bank s advertisements to skiers helmets and caps,neutral,2
2414,spy httpstksco1mir were holding above wednesday and thursday closes im leaning bullish small postions waiting,positive,1
2095,companiesdiageo stays neutral on india boardroom turmoil,neutral,2
558,finnish forest machinery manufacturer ponsse has agreed with volvo on the start of cooperation in latin america,positive,1
2411,industry investment is very interested in glaston s solar energy projects,positive,1
1130,royal mail share price edges lower as group raises stamp price,negative,0
105,earnings per share eps in the first half of 2007 amounted to eur0 29 down from eur0 40 year ago,negative,0
1711,fbr capital reiterated outperform rating on brcm with a price target of 4500 on friday,positive,1
1212,cramo group s financial targets for 20102013 are sales growth higher than 10 percent per year return on equity above 15 percent,positive,1
1988,kgc httpstksco3qta oversold falling wedge and positive divergence place it on the launch pad looking for a bounce,positive,1
928,bbry both 1m6m trends turn bullish today with a resistance level at 1131 httpstkscoj1qt6,positive,1
683,the highest growth would be in china while weakening demand would continue in north america upm said,neutral,2
1584,finnish glass technology company glaston oyj abp net profit decreased to 26 mln euro 38 mln for the first nine months of 2007 from 78 mln euro 114 mln for the same period of 2006,negative,0
2083,fiskars will be undertaking community projects throughout the uk and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects,neutral,2
1118,amzn trailing 12 months operating cash flow rose 48 to 498 billion free cash flow decreased 63 to 388 million httpstkscoc06zg,neutral,2
2307,tesco asda sales fall as march of the discounters continues kantar,negative,0
384,comparable operating profit totaled eur 47 mn down from eur 51 mn in the corresponding period in 2005 representing 74 of net sales,negative,0
1224,operating profit totalled eur 58 mn up from a loss of eur 17 mn in the fourth quarter of 2009,positive,1
703,diluted earnings per share eps rose to eur 105 from eur 064,positive,1
1697,in the fourth quarter of 2008 net sales decreased to eur 1214 mn from eur 1655 mn in the fourth quarter of 2007,negative,0
1653,the aim is an annual improvement in ruukki construction s operating profit of more than eur 3 million usd 41 m starting in 2009,positive,1
2058,meanwhile nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout,positive,1
532,the authorization is in force for a period of 18 months from the resolution by the general meeting,neutral,2
87,the company serves customers in various industries including process and resources industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy and information technology as well as catering and households,neutral,2
1462,sanoma magazines net sales are estimated to grow in 2006,positive,1
466,as part of the reorganisation measures that will take place in spring 2006 tamglass finton will start personnel negotiations that will affect its entire staff of 33,neutral,2
74,operating profit in the fourth quarter fell to eur33m from eur39m a year earlier,negative,0
842,operating profit decreased to nearly eur 17 mn however,negative,0
2576,x marks the recall tesla recalls modelx for faulty 3rd row seat httpstcohsqdovry07 tsla httpstco4cs3cnzebb,negative,0
199,metso estimates the need for personnel reductions to amount to 25 people,negative,0
2129,finland s poyry energy has won a contract to advise builders of a new cogeneration power plant in lithuania s secondbiggest city of kaunas and to supervise the construction process,positive,1
58,the company said that its comparable operating profit for the januaryjune period fell short of last year s corresponding performance,neutral,2
1095,rising costs have forced packaging producer huhtamaki to axe 90 jobs at its hampshire manufacturing plant,negative,0
2485,in september alone the market declined by 102 percent yearonyear to 1928 million liters,neutral,2
1633,qualcomm estimated a firstquarter profit between 46 and 50 cents a share excluding certain items below the analyst estimate of 61 cents a share,negative,0
598,samsung currently occupies third place and lost ground during the quarter dropping by 18 to an 111 share overall,negative,0
1718,intertek swings to 347 mln loss on oils slump,negative,0
158,its 168 asset management experts manage assets worth over eur 35 billion,neutral,2
381,aviva shuts friends life head office in rapid integration move,neutral,2
1619,sanoma news advertising sales decreased by 22 during the year,negative,0
190,ocwen reaches settlement with california regulator,positive,1
1603,a total of 165 mn passenger ship journeys took place in the northern baltic sea in 2007 slightly down from 165 mn in 2006,negative,0
2547,britains ftse falls back with ashtead commodities under pressure,negative,0
1299,the poorest index figure was given to finnish power company fortum 45,negative,0
81,terms of the acquisition were not disclosed,neutral,2
2254,previously the plant was expected to be completed by the end of 2008,neutral,2
1083,aapl beat the estimates will still go down on lack of new products httpstcosx3z7u6n8o,negative,0
1942,aspo plc stock exchange release february 11 2011 at8 45 am esl shipping ltd part of aspo group has signed a new longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea,positive,1
644,endp exit reversal 11 x 3k shares 330 now long not getting follow through either side of price action,positive,1
1119,adp news feb 11 2009 finnish management software solutions provider ixonos oyj hel xns1v said today its net profit rose to eur 35 million usd 45 m for 2008 from eur 31 million for 2007,positive,1
756,a meeting of glisten shareholders to vote on the bid will be held on 12 march,neutral,2
253,upmkymmene corp the world s largest maker of magazine paper on tuesday reported a 19percent profit drop as lower paper prices higher costs and a strong euro hurt revenue,negative,0
2177,shell share price standard life announce position against bg acquisition,negative,0
140,yit lodged counter claims against neste oil totaling some eur25m primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project,neutral,2
1385,neste oil s board proposed 100 eur dividend for the fullyear 2007 compared with 090 eur a year ago,positive,1
176,some of the layoffs will be implemented using parttime employment contracts,neutral,2
207,the group with net sales of eur 235 million in 2009 employs more than 2 000 people in 33 countries,neutral,2
1573,however this increases signaling traffic which wastes network resources and allows fewer smartphones to connect,negative,0
1156,finland s nokian tyres and kazakhstan s ordabasy corporation signed an agreement to build a plant in astana to produce car tires ordabasy chairman dinmukhamet idrisov said at a press conference,positive,1
2562,adp news feb 13 2009 finnish retailer kesko oyj hel kesbv said today its total sales excluding value added tax vat stood at eur 6613 million usd 8531 m in january 2009 down 152 yearonyea,negative,0
2503,however net sales in 2010 are seen to have grown to eur598 3 m from eur582 3 m in 2009,positive,1
174,today we are connecting people in new and different ways fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them,neutral,2
2047,tesco set to sell kipa giraffe businesses sky news,negative,0
1732,erkki jarvinen president of rautakirja and the head of the sanoma trade division will leave his current tasks in spring 2009 for a similar position outside the sanoma group,neutral,2
2024,operating loss increased to eur 17mn from a loss of eur 108 mn in 2005,negative,0
739,according to mreal s ceo mikko helander this transaction will enable the company to proceed swiftly with its restructuring program,positive,1
539,the move was triggered by weak demand for forestry equipment and the uncertain market situation,negative,0
507,this could be us,neutral,2
1980,slump in weir leads ftse down from record high,negative,0
2200,the employer together with health personnel supports quitting and pays part of the cost of nicotine treatments,neutral,2
1138,the plan is estimated to generate some eur 5 million usd 65 m in cost savings on an annual basis,positive,1
2055,despite sales growth uks tesco cautions recovery to be bumpy,neutral,2
1996,operating profit totaled eur 38 mn down from eur 45 mn in the corresponding period in 2005,negative,0
411,merkels government said to support deutsche boerselse merger,positive,1
1859,the bank is also examining the benefits of transferring the swedish business to operate as a branch office so that the operations would be governed by finland s laws,neutral,2
1325,dubai nokia has announced the launch of comes with music its groundbreaking service which introduces a new way for people to enjoy music,positive,1
834,adpnews aug 3 2009 finnish media group ilkkayhtyma oyj hel ilk2s said today its net profit fell 45 on the year to eur 59 million usd 84 m in the first half of 2009,negative,0
2245,we are pleased to welcome tapeks noma into cramo group,positive,1
1432,crk time to accumulate for a long position with far more upside than downside,positive,1
2451,westpac banking corp is to issue a benchmark 3 year frn deal in euros,neutral,2
2438,renesas mobile europe ltd has approximately 470 employees in oulu,neutral,2
296,over the years the color orange has become synonymous with quality,neutral,2
349,bhp billiton share price brazil to sue samarco for 35bn,negative,0
312,the company is in charge of all natural gas storage activities in france great britain and germany,neutral,2
1314,the seawind that was en route from the finnish port of turku to stockholm got stuck in ice already around 4 pm on wednesday and the regal star s journey from the swedish port of kapellskar to paldiski in northwestern estonia was cut short at 2 am on thursday,negative,0
826,starbucks shares down as much as 42 sbux httpstcojlgrprr54k,negative,0
988,mpwr ceo sells 450k april 15thmeh,negative,0
1670,55 workers in ml will be affected by the closedown,neutral,2
1121,however the growth margin slowed down due to the financial crisis,negative,0
141,p bull flag on the daily earnings on the table tomorrow 12 movewill straddle this one into earningslots of vol guaranteed here,positive,1
405,johnson matthey raises prospect of investor payout,positive,1
1969,update 1nomura rbs must pay 806 mln in mortgage bond caseus judge,negative,0
1459,operating profit totalled eur 96 mn down from eur 420 mn the year before,neutral,2
2229,in accordance with our strategy we strengthened our local presence by establishing a representative office in south africa in october,positive,1
2326,nordic infrastructure construction is one of our strategic growth areas,neutral,2
2424,znga httpstksco3rdu looking for a test at 925 resistance point cc cfrazierjr fletchtrade traders,positive,1
84,as a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds,negative,0
322,sabmiller revenue hit by weaker em currencies,negative,0
307,glencore cuts 2015 budget plans to divest from lonmin,negative,0
891,in providing managed services nokia takes responsibility for building operating and transferring as well as optimising the indosat 3g network,neutral,2
2461,gdx gdxj jnug strong move today for the junior gold miners keep an eye out for a gap fill,positive,1
1326,fb down 75 from this bearish pattern considering the bullish sentiment thats an impressive bearish move httpstcotajf0ch2qh,negative,0
1116,ftse led lower by ms glaxosmithkline,negative,0
791,finnish suominen corporation that specialises in wet wipes nonwovens and flexible packaging reports net sales of eur 441 mn in the second quarter of 2010 up from eur 433 mn in the second quarter of 2009,positive,1
692,vrtx early technical buy signal for confirmation 86 it needs some fundam incentive httpstcoquysrqfo2x,positive,1
608,device volume in the area decreased by 21 to 27 mn units,negative,0
473,seat belt recall who cares im a buyer tsla,positive,1
568,our standardised services have met with a positive reception among our customers as well as at itella,positive,1
1435,sales in finland decreased by 105 in january while sales outside finland dropped by 17,negative,0
1911,the acquisition of elektros pavara completes kone s market expansion strategy in the baltic countries,positive,1
2398,however he expects banks to provide alternative financing,positive,1
838,the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several cities enabling bidirectional services for digital television as well as broadband data,positive,1
201,paper companies were in negative territories with stora enso r shedding 162 pct to 1273 eur upmkymmene down 080 pct at 1864 eur and mreal b 018 pct lower at 557 eur,negative,0
1139,profitability ebit was 139 compared to 131 in the previousyear period,positive,1
989,finnlines said that the deal is part of its strategy to focus on its core businesses,neutral,2
1073,tsla i see more downside in next two weeks be careful 20 dollars drop potential vs 10 up moved,negative,0
97,adobe receives new rating from top analyst adbe httpstcoljnxpevhzn,positive,1
2156,satama s net sales would be higher than the year before,positive,1
845,finnish forest machinery manufacturer ponsse has issued a profit warning,negative,0
2057,the omx helsinki 25 ended 047 pct lower at 315055 and the omx helsinki was down 021 pct at 1073642 on 1523 bln eur turnover,negative,0
2080,we succeeded in increasing our market share of sold apartment comments mr kari kauniskangas head of yit international construction services,positive,1
586,the construction of a large woodworking facility in the sheksna district of the vologda region in northwest russia will begin in 2009 and the plant will start production in 2011,neutral,2
768,the acquisition of landsbanken sverige in 2009 burdened the performance with eur 30 mn,negative,0
222,agn and pypl under pressure along with the market however there were bullish options trades in both this morning httpstco9xg5w8nont,neutral,2
194,poyry s net sales in 2007 amounted to about eur 720 million and it employs 7400 experts,neutral,2
1872,the real estate company posted a net loss of x201a 593 million x201a 021 per share compared with a net profit of x201a 31 million x201a 011 per share for the corresponding quarter of 2007,negative,0
952,the study evaluated the safety tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis,neutral,2
2153,the company confirmed its estimate for lower revenue for the whole 2009 than the yearago eur93 9 m as given in the interim report on 5 august 2009,negative,0
530,beyond the improved voice capabilities customers now have a streamlined way to comply with recalls and other traceability requirements providing them with a competitive advantage,positive,1
1115,here come the shorts marchin in gmcr lovin it,negative,0
1306,luv continues to consolidate above previous break out area,positive,1
1264,production will expand to other of elcoteq s locations including mexico and hungary during 2010,positive,1
249,the method utilises waterborne ultra products giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer,neutral,2
1724,separately yit corporation and austrian firm e ag last week signed an agreement on the sale of e s building system service business in germany austria poland the czech republic hungary and romania for eur 55 mln,positive,1
1571,all are welcome,neutral,2
1117,avgo great growth stk also raised dividend clearly a great investment httpstkscor2f3h,positive,1
1431,most of the increase in net sales was due to the acquisition of swedish silva that produces garden tools and boats,positive,1
1265,return on equity stood at 183 compared to 154 in the third quarter of 2005,positive,1
1816,at 1201 pm the omx helsinki 25 was down 066 pct to 314357 and the omx helsinki was 067 pct lower at 1053074 on 253 mln eur turnover,neutral,2
955,activities range from the development of natural resources to the retailed marketing of finished products,neutral,2
1919,operating loss amounted to eur 07 mn compared to a profit of eur 08 mn in the second quarter of 2005,negative,0
2264,the order includes a log handling line peeling line and drying line for the production of parquet base layer veneer for plyfa s hassela mill central sweden,neutral,2
2117,valeant ceo pledges to heed critics after painful experience,negative,0
2391,intercontinental hotels group share price climbs on 15bn special dividend,positive,1
544,the company has 120 employees and annual sales of approximately eur16m,neutral,2
2010,sp has kept its sell rating while nordea and ubs have reaffirmed their buy recommendations,neutral,2
468,registration is required,neutral,2
2284,both operating profit and net sales for the ninemonth period increased respectively by 266 and 34 as compared to the corresponding period in 2006,positive,1
2110,equity ratio was 609 compared to 542 in the third quarter of 2007 net sales of the frozen foods business totaled eur 110 up by about 5 from the third quarter of 2006,positive,1
1081,the proposal that the board of directors will make at the annual general meeting is attached as a whole to this release,neutral,2
1475,finnish suominen flexible packaging is cutting 48 jobs in its unit in tampere and two in nastola in finland,negative,0
340,the agreement was signed with biohit healthcare ltd the ukbased subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems,positive,1
1791,1nvestor soda has a 4271 float short lol httpstkscoe0dfp,negative,0
92,the policy was also aimed at making the companies more profitable and competitive,positive,1
2031,rt stocktwits rt fallondpicks breadth consolidates after weeks of steady gainsadvances in mkt breadth slowe httpstksco2trg qqq,negative,0
959,altia s operating profit jumped to eur 47 million from eur 66 million,positive,1
375,in 2009 fiskars cash flow from operating activities amounted to eur121m up from eur97m in the previous year,positive,1
479,vaisala headquartered in helsinki in finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry,neutral,2
475,the number of bodily injury cases quadrupled in 20002006,negative,0
2206,ih in a move to enhance growth,positive,1
168,they are also upset that some of the machinery and work is taken over to poland,negative,0
1713,in a note to clients published the dutch broker described the company s third quarter results as soft although it also noted that elcoteq retained its guidance dealers said,neutral,2
267,brazilian nonprofit interbank camara interbancaria de pagamentos cip has acquired solutions from us business integration solutions provider sterling commerce the latter company said in a statement,positive,1
1380,vacon controls a further 5 of the company via investment fund power fund i eur 10 usd 1397,neutral,2
1477,swedbank s shares have been hardest hit of the swedish banks by the ongoing international financial crisis,negative,0
574,the addon order contains among others control valves and instrumentation as well as complete mill engineering and electrification with metso drive controls,neutral,2
1328,scania morgan stanley lifted the share target on swedish heavyduty truck and bus maker scania ab to 330 crowns 424 352 euro from 310 crowns 398 331 euro,positive,1
1604,the new system which will include 60 mc3090 pdas from motorola to be used by 60 poundstretcher operatives across 3 shifts will integrate in realtime with the company s existing warehouse management system aldata gold stock which went live in may 2008,neutral,2
562,tesco leads leap in ftse 100 marks spencer drops,positive,1
837,tsla recalls 2700 model x vehicles shares volatile httpstcotckqznmiqx tsla tech stockmarket httpstcofemhjtamqj,negative,0
1416,it operates under three distinct brands united supermarkets market street and united supermercado,neutral,2
2280,surprising to see jwn and sks sales numbers still holding up so well i guess the high end might not be a concern after all,positive,1
380,finnish automation solutions developer cencorp corporation omx helsinki cnc1v issued on thursday 18 september a profit warning for the third quarter of 2008,negative,0
2198,agricultural newspaper maaseudun tulevaisuus had 318000 readers representing a decrease of 6,negative,0
1610,finnish power supply solutions and systems provider efore oyj said its net loss widened to 32 mln euro 42 mln for the first quarter of fiscal 20062007 ending october 31 2007 from 900000 euro 12 mln for the same period of fiscal 200506,negative,0
800,back then tikkurila s former owner finnish chemicals company kemira oyj hel kra1v distributed an 86 stake to kemira shareholders to facilitate the divestment and listing of tikkurila,neutral,2
2422,sales by seppala diminished by 6 per cent,negative,0
2514,the company expects net sales to significantly increase from 2009,positive,1
1175,svyturysutenos alus which is controlled by the nordic group baltic beverages holding bbh posted a 47percent growth in beer sales for januarymay to 4622 million litres,positive,1
1689,growth is expected to continue in 2008,positive,1
2271,the project also implies an underground parking lot for 56 vehicles,neutral,2
1965,the transaction strengthens our position in design and branded goods said fiskars president and ceo heikki allonen pointing out that the two groups have relatively few overlapping operations,positive,1
1600,ab inbev to sell more sab assets as seeks eu deal approval,neutral,2
1094,operating profit of kauppalehti group rose to eur 15 mn from eur 13 mn and that of marketplaces to eur 13 mn from eur 10 mn in the third quarter of 2006,positive,1
740,it comes complete with an lcd touch screen system for selection of your chosen function and prices start at around the pounds 4805 mark,neutral,2
1030,philip morris bat sue over law taking branding off packs,negative,0
2165,amzn new hod with conviction keeping 570 on watch for resistance,positive,1
1927,mformation and nokia noted they have established interoperability agreements that cover commercially proven standardsbased management of mobile devices as well as mobile device security and mobile application management,positive,1
2011,dnb nord of norway is the most likely nordic buyer for citadele while nordea would be a good strategic fit according to the document published by pietiek,neutral,2
308,starbucks digital strategy to drive significant growth with customer loyalty sbux httpstcoxk6lz3ui3k,positive,1
801,they will be sunk to a depth of some 360380 metres and fixed to the bottom mud by vacuum,neutral,2
669,lt s net profit for the whole 2010 dropped to eur 36 million from eur 45 million for 2009,negative,0
1954,the last quarter was the best quarter of 2009 in net sales and the operating margin rose to 122,positive,1
198,the maximum amount of the capital loan will be eur30m and the minimum subscription eur10 000,neutral,2
521,the combined value of the planned investments is about eur 30mn,neutral,2
49,following the acquisition relacom will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,positive,1
172,nokia and elisa will work together to bring a superior mobile gaming experience for elisa customers,positive,1
300,ssh communications security corporation is headquartered in helsinki finland,neutral,2
889,phew so far good bbry did not break 1040 coz i was told that is key support level,positive,1
537,saltwaternurse ino can test 10 again in next few days time to take some profits here or hedge with puts,negative,0
1023,viking line has canceled some services,negative,0
1124,at 1201 pm the omx helsinki 25 was down 066 pct to 314357 and the omx helsinki was 067 pct lower at 1053074 on 253 mln eur turnover,negative,0
1395,marimekko operates in an industry in which changes in the business climate are reflected in consumer demand,neutral,2
678,patrick jeambar will also continue being responsible for innovation and health safety and environment hsea functions of ahlstrom corporation,neutral,2
165,companiesunilever sales lifted by ice cream in soft economy,positive,1
936,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported on thursday 30 october an operating profit of eur7 4 m for januaryseptember 2008 up from eur6 1 m in the corresponding period in 2007,positive,1
83,nokia s us shares were 33 percent lower at 1273 by 1750 gmt,negative,0
43,ftse rallies off threemonth low boosted by stanchart sainsbury,positive,1
142,in total more than 3000 surveillance cameras will be handled and managed according to a variety of needs the company said,neutral,2
1198,the hack had been extra nefarious because the tweets activated without being clicked on it was enough for web surfers to move their mouse cursors over them,negative,0
1664,lining stone sales were also good in the early autumn and order books are strong to the end of the year,positive,1
1504,at the moment valio is not worried but if the ban continues for long it may become quite a problem,negative,0
2097,adpnews feb 3 2010 finlandbased steel maker rautaruukki oyj hel rtrks or ruukki said today it slipped to a largerthanexpected pretax loss of eur 46 million usd 645 m in the fourth quarter of 2009 from a,negative,0
1245,the boeing company nyseba bearish trader bets 550k that stock will sell off 979 by july expiry ba httpstkscotcse,negative,0
2122,rad i would consider this opportunity to add my position because the company is on the right track they are still improving sales,positive,1
534,fb nice buyable intraday dip right here,positive,1
1550,the company s profit before taxes fell to eur 211 mn in the third quarter of 2008 compared to eur 358 mn in the corresponding period in 2007,negative,0
337,the company plans to close two of the three lines at the plant where some 450 jobs are under threat,negative,0
1227,currently the company foresees its pretax profit to remain below the 2009 level when it reached eur 700000 usd 934000 compared with previous projections of a slightly better pretax profit,negative,0
2135,pharmaceutical market in netherlands global research data services published recently a market analysis about the pharmaceutical markets in netherlands,neutral,2
684,all the ferries had run into trouble just outside the stockholm archipelago made up of more than 20000 islands,negative,0
211,short interest increases yet again httpstkscoe19h via ryandetrick spy,negative,0
325,amrn got sell signal 7114 still in force with target below 150,negative,0
1755,dara breaking out,positive,1
819,supreme court upholds 236 million jury award against exxonmobil,negative,0
2074,viking line head jan kaarstroem told tt that his company s ferries were well equipped to handle ice and that all the passengers were safe,positive,1
874,based in helsinki finland ramirent has branches in 13 nordic central and eastern european countries,neutral,2
743,cndo 21 short float shorts likely to take profits into close,negative,0
364,the interim report for the first quarter is published on may 8 2009,neutral,2
1166,nordic business report26 june 2006metso corporation wins eur50m equipment order in australia 19982006 m2 communications ltd the finnish engineering and technology group metso corporation said on monday 26 june that it has received a eur50m equipment order in australia,positive,1
625,whats up with lulu numbers looked good not great but good i think conference call will instill confidence,neutral,2
132,tsla you have to love these types of articles ss interest rose on 1215 on day before we hit our lows httpstkscoc1qkr,negative,0
1772,the company has an annual turnover of eur32 8 m,neutral,2
505,xlf httpstksco1kj9 bounced off target buy area bought skf as a hedge watch 50mas slope,negative,0
580,with this appointment kaupthing bank aims to further coordinate capital markets activities within the group and to improve the overall service to clients,positive,1
1936,aapl at resistance right heresold my shareswill buy back if it dips or if it goes in the 128 gap zone,negative,0
408,the department store division s sales fell by 86 to eur 1402 mn,negative,0
1043,these include software development for internet and mobile telephone content communications valueadded software financial services security applications systems integration and electronics ebrd informed,neutral,2
1817,in this way the industry s starting point has been the consumers needs,neutral,2
